c_std_hi,c_mean_hi,contribution_hi,lengths_hi,bins_hi,weights_hi,relweights_hi,c_std_lo,c_mean_lo,contribution_lo,lengths_lo,bins_lo,weights_lo,relweights_lo
77.00801699352446,97.50868106644694,0.03593078688717556,16.97159911871729,0.0,1221,0.2860824742268041,82.65345465222735,117.49430915260061,0.019134132199458833,22.628798824956387,0.0,891,0.20856741573033707
,,0.07142016361603201,6.0107746878790405,10.0,809,0.18955014058106842,,,0.043873212214920757,36.418223108914184,10.0,681,0.15941011235955055
,,0.07636395738920605,60.81489684207029,20.0,519,0.12160262417994376,,,0.044023536485848044,43.843297723353004,20.0,410,0.09597378277153558
,,0.07477488081925725,4.596474761319266,30.0,363,0.08505154639175258,,,0.052012197740840954,19.446623990196894,30.0,346,0.08099250936329588
,,0.07124359955270437,8.485799559358645,40.0,269,0.06302717900656045,,,0.05488983378430615,26.87169860463571,40.0,284,0.06647940074906367
,,0.05535283385321641,14.496574247237685,50.0,171,0.04006560449859419,,,0.06212687368466263,57.98629698895074,50.0,263,0.061563670411985016
,,0.05929609793420046,54.096972190911366,60.0,155,0.03631677600749766,,,0.059743160245672805,40.307547906953566,60.0,214,0.050093632958801496
,,0.05870755105644165,9.546524504278477,70.0,133,0.031162136832239926,,,0.05443886097152429,5.303624724599153,70.0,169,0.03955992509363296
,,0.04852569007121417,6.717924651158928,80.0,97,0.022727272727272728,,,0.05549113086801529,60.81489684207029,80.0,152,0.035580524344569285
,,0.04920251898063681,3.8893247980393792,90.0,88,0.020618556701030927,,,0.055083107846926944,10.253674467558364,90.0,135,0.03160112359550562
,,0.0444941439585663,3.8893247980393792,100.0,72,0.016869728209934397,,,0.04870506378044066,50.91479735615187,100.0,108,0.025280898876404494
,,0.04060973456535813,32.52889831087481,110.0,60,0.014058106841611996,,,0.03803204054460336,75.31147108930797,110.0,77,0.01802434456928839
,,0.0434053322347125,86.27229552014623,120.0,59,0.013823805060918463,,,0.04939226044753683,47.02547255811249,120.0,92,0.02153558052434457
,,0.03178153139897593,7.071499632798871,130.0,40,0.00937207122774133,,,0.03420950908388094,16.97159911871729,130.0,59,0.013810861423220975
,,0.03157553999176035,19.80019897183684,140.0,37,0.008669165885660732,,,0.03923463471202165,4.242899779679322,140.0,63,0.014747191011235955
,,0.027367429815784827,6.0107746878790405,150.0,30,0.007029053420805998,,,0.03328608856247047,110.31539427166238,150.0,50,0.011704119850187267
,,0.028161968100759226,14.142999265597743,160.0,29,0.006794751640112465,,,0.034016235021260145,111.37611921658223,160.0,48,0.011235955056179775
,,0.021629097757636395,21.214498898396613,170.0,21,0.0049203373945641985,,,0.03382296095863935,55.15769713583119,170.0,45,0.010533707865168539
,,0.017420987581660878,112.0832691798621,180.0,16,0.0037488284910965324,,,0.02383713438989821,12.728699339037968,180.0,30,0.007022471910112359
,,0.018362662586074982,10.253674467558364,190.0,16,0.0037488284910965324,,,0.022613065326633167,10.960824430838251,190.0,27,0.006320224719101123
,,0.012065210994055676,4.242899779679322,200.0,10,0.0023430178069353325,,,0.0202508267834901,94.40452009786493,200.0,23,0.0053838951310861425
,,0.010123006297451592,15.91087417379746,210.0,8,0.0018744142455482662,,,0.013851307821157068,12.728699339037968,210.0,15,0.0035112359550561797
,,0.007945382849743983,184.56614041605053,220.0,6,0.0014058106841611997,,,0.011596443757247778,12.728699339037968,220.0,12,0.0028089887640449437
,,0.013830851627332117,4.242899779679322,230.0,10,0.0023430178069353325,,,0.014130481467164883,80.61509581390713,230.0,14,0.0032771535580524347
,,0.007209699252545465,7.7786495960787585,240.0,5,0.0011715089034676663,,,0.01052269896491002,84.50442061194651,240.0,10,0.0023408239700374533
,,0.01350715084456477,13.435849302317855,250.0,9,0.0021087160262417996,,,0.008761757505476099,13.435849302317855,250.0,8,0.0018726591760299626
,,0.0046789476781825675,10.607249449198306,260.0,3,0.0007029053420805998,,,0.010243525318902203,53.74339720927142,260.0,9,0.002106741573033708
,,0.001618503913836737,5.657199706239097,270.0,1,0.00023430178069353328,,,0.010630073444143797,33.2360482741547,270.0,9,0.002106741573033708
,,0.0016773586016126186,111.72969419822216,280.0,1,0.00023430178069353328,,,0.002448138126530086,3.5357498163994356,280.0,2,0.00046816479400749064
,,0.0034724265787769997,33.589623255794635,290.0,2,0.00046860356138706655,,,0.005068075419834213,41.72184783351334,290.0,4,0.0009363295880149813
,,0.0,73.54359618110826,300.0,0,0.0,,,0.003929905939956191,125.8726934638199,300.0,3,0.0007022471910112359
