R,pdf,cdf,satn,bin_centers,bin_edges,bin_widths
4.884064966245247,4.6038823717298704e-05,0.9999999999999998,0.00014312503167604278,4.884064966245247,3.32967,3.1087899324904935
7.99285489873574,0.00013889900073349326,0.9998568749683238,0.0004318078151132735,7.99285489873574,6.438459932490494,3.1087899324904935
11.101644831226235,0.0001861116188231877,0.9994250671532104,0.0005785819269170341,11.101644831226235,9.547249864980987,3.1087899324904935
14.210434763716727,0.0003929602715586997,0.9988464852262934,0.0012216309360904161,14.210434763716727,12.65603979747148,3.1087899324904935
17.319224696207222,0.0007093630657178117,0.997624854290203,0.0022052607571841267,17.319224696207222,15.764829729961974,3.1087899324904953
20.428014628697717,0.0010240703791167978,0.9954195935330189,0.003183619684760022,20.428014628697717,18.87361966245247,3.1087899324904917
23.536804561188205,0.0016301395400637872,0.9922359738482589,0.005067761390704982,23.536804561188205,21.98240959494296,3.1087899324904917
26.6455944936787,0.0014587655616940106,0.9871682124575539,0.0045349956920581825,26.6455944936787,25.091199527433453,3.1087899324904953
29.754384426169196,0.0017606915585935757,0.9826332167654958,0.005473620191576707,29.754384426169196,28.19998945992395,3.1087899324904953
32.86317435865969,0.0018422050566766156,0.977159596573919,0.005727028533779332,32.86317435865969,31.308779392414444,3.108789932490488
35.97196429115018,0.002918704917760417,0.9714325680401397,0.009073640464244083,35.97196429115018,34.41756932490493,3.1087899324904953
39.080754223640675,0.0022398605057248936,0.9623589275758956,0.006963255790380618,39.080754223640675,37.52635925739543,3.1087899324904953
42.18954415613117,0.002031316372229255,0.955395671785515,0.006314935887689423,42.18954415613117,40.63514918988592,3.1087899324904953
45.29833408862166,0.0022641189227544105,0.9490807358978256,0.0070386701130201205,45.29833408862166,43.74393912237642,3.108789932490488
48.40712402111215,0.0027516348520894266,0.9420420657848054,0.008554254726065582,48.40712402111215,46.852729054866906,3.1087899324904953
51.51591395360265,0.0038428723536266447,0.9334878110587398,0.011946682884800568,51.51591395360265,49.9615189873574,3.1087899324904953
54.624703886093144,0.0025961723085454603,0.9215411281739392,0.008070954335816736,54.624703886093144,53.070308919847896,3.1087899324904953
57.73349381858364,0.004703133206995773,0.9134701738381225,0.014621053165070196,57.73349381858364,56.17909885233839,3.1087899324904953
60.842283751074135,0.003242933007735508,0.8988491206730522,0.010081597486189246,60.842283751074135,59.28788878482889,3.108789932490488
63.95107368356462,0.003252323362714666,0.888767523186863,0.010110790127210988,63.95107368356462,62.396678717319375,3.1087899324904953
67.05986361605511,0.0033277070457418735,0.8786567330596521,0.010345142162079978,67.05986361605511,65.50546864980987,3.108789932490481
70.1686535485456,0.005034012798414408,0.8683115908975721,0.01564968830773909,70.1686535485456,68.61425858230035,3.1087899324905095
73.2774434810361,0.005956876018311358,0.8526619025898331,0.018518676194820335,73.2774434810361,71.72304851479086,3.108789932490481
76.3862334135266,0.0027946739790772565,0.8341432263950128,0.008688054330748568,76.3862334135266,74.83183844728134,3.1087899324905095
79.49502334601709,0.0061547255808585034,0.8254551720642642,0.019133748923014542,79.49502334601709,77.94062837977185,3.108789932490481
82.60381327850759,0.006731058617704742,0.8063214231412497,0.020925447265723988,82.60381327850759,81.04941831226233,3.1087899324905095
85.71260321099808,0.0019188929556731404,0.7853959758755257,0.005965435102123562,85.71260321099808,84.15820824475284,3.108789932490481
88.82139314348856,0.007505371638695182,0.7794305407734021,0.023332623789975165,88.82139314348856,87.26699817724332,3.108789932490481
91.93018307597906,0.003709320638367382,0.756097916983427,0.011531498656935786,91.93018307597906,90.3757881097338,3.1087899324905095
95.03897300846955,0.010577452354448654,0.7445664183264912,0.03288307739090771,95.03897300846955,93.48457804222431,3.108789932490481
98.14776294096005,0.0047804732139769355,0.7116833409355835,0.014861487000152046,98.14776294096005,96.5933679747148,3.1087899324905095
101.25655287345054,0.008472839044743122,0.6968218539354315,0.02634027672190968,101.25655287345054,99.7021579072053,3.108789932490481
104.36534280594104,0.0036348499065187202,0.6704815772135219,0.011299984795499467,104.36534280594104,102.81094783969579,3.1087899324905095
107.47413273843154,0.004312259680988018,0.6591815924180224,0.013405909482540165,107.47413273843154,105.9197377721863,3.108789932490481
110.58292267092203,0.0045043706932700765,0.6457756829354823,0.01400314226344331,110.58292267092203,109.02852770467678,3.1087899324905095
113.69171260341253,0.007856596999235368,0.6317725406720389,0.02442450965485784,113.69171260341253,112.13731763716729,3.108789932490481
116.80050253590301,0.0074016864691335595,0.607348031017181,0.023010288378693424,116.80050253590301,115.24610756965777,3.108789932490481
119.9092924683935,0.0050469245365107615,0.5843377426384876,0.015689828189143985,119.9092924683935,118.35489750214825,3.1087899324905095
123.018082400884,0.007194185708413382,0.5686479144493436,0.022365212102782424,123.018082400884,121.46368743463876,3.108789932490481
126.1268723333745,0.006201677355754276,0.5462827023465612,0.019279712128123256,126.1268723333745,124.57247736712924,3.1087899324905095
129.235662265865,0.008447015568550417,0.5270029902184379,0.026259996959099894,129.235662265865,127.68126729961975,3.108789932490481
132.34445219835547,0.006456260312967272,0.500742993259338,0.020071157062490498,132.34445219835547,130.79005723211023,3.108789932490481
135.45324213084598,0.006866827500111846,0.48067183619684756,0.021347524200496678,135.45324213084598,133.8988471646007,3.1087899324905095
138.56203206333646,0.009000394404336533,0.4593243119963509,0.027980335512645074,138.56203206333646,137.00763709709122,3.108789932490481
141.67082199582694,0.009115034988040432,0.4313439764837058,0.028336729005118844,141.67082199582694,140.1164270295817,3.1087899324905095
144.77961192831745,0.008609912143119557,0.40300724747858696,0.02676640819015762,144.77961192831745,143.2252169620722,3.108789932490481
