R,pdf,cdf,satn,bin_centers,bin_edges,bin_widths,average-pore-size
140.4648829,0.012380689,0.342120539,0.024844192,140.4648829,139.4615385,2.006688963,
142.4715719,0,0.317276346,0,142.4715719,141.4682274,2.006688963,
144.4782609,0,0.317276346,0,144.4782609,143.4749164,2.006688963,
146.4849498,0,0.317276346,0,146.4849498,145.4816054,2.006688963,
148.4916388,0.019515108,0.317276346,0.039160753,148.4916388,147.4882943,2.006688963,
150.4983278,0,0.278115594,0,150.4983278,149.4949833,2.006688963,
152.5050167,0,0.278115594,0,152.5050167,151.5016722,2.006688963,
154.5117057,0,0.278115594,0,154.5117057,153.5083612,2.006688963,
156.5183946,0.009989571,0.278115594,0.020045963,156.5183946,155.5150502,2.006688963,
158.5250836,0,0.258069631,0,158.5250836,157.5217391,2.006688963,
160.5317726,0,0.258069631,0,160.5317726,159.5284281,2.006688963,
162.5384615,0,0.258069631,0,162.5384615,161.5351171,2.006688963,
164.5451505,0,0.258069631,0,164.5451505,163.541806,2.006688963,
166.5518395,0.016856356,0.258069631,0.033825464,166.5518395,165.548495,2.006688963,
168.5585284,0,0.224244167,0,168.5585284,167.5551839,2.006688963,
170.5652174,0,0.224244167,0,170.5652174,169.5618729,2.006688963,
172.5719064,0,0.224244167,0,172.5719064,171.5685619,2.006688963,
174.5785953,0.01693307,0.224244167,0.033979405,174.5785953,173.5752508,2.006688963,
176.5852843,0,0.190264762,0,176.5852843,175.5819398,2.006688963,
178.5919732,0,0.190264762,0,178.5919732,177.5886288,2.006688963,
180.5986622,0,0.190264762,0,180.5986622,179.5953177,2.006688963,
182.6053512,0,0.190264762,0,182.6053512,181.6020067,2.006688963,
184.6120401,0.024727059,0.190264762,0.049619516,184.6120401,183.6086957,2.006688963,
186.6187291,0,0.140645246,0,186.6187291,185.6153846,2.006688963,
188.6254181,0,0.140645246,0,188.6254181,187.6220736,2.006688963,
190.632107,0,0.140645246,0,190.632107,189.6287625,2.006688963,
192.638796,0,0.140645246,0,192.638796,191.6354515,2.006688963,
194.6454849,0.024763397,0.140645246,0.049692435,194.6454849,193.6421405,2.006688963,
196.6521739,0,0.090952811,0,196.6521739,195.6488294,2.006688963,
198.6588629,0,0.090952811,0,198.6588629,197.6555184,2.006688963,
200.6655518,0,0.090952811,0,200.6655518,199.6622074,2.006688963,
202.6722408,0,0.090952811,0,202.6722408,201.6688963,2.006688963,
204.6789298,0.012573051,0.090952811,0.025230203,204.6789298,203.6755853,2.006688963,
206.6856187,0,0.065722608,0,206.6856187,205.6822742,2.006688963,
208.6923077,0,0.065722608,0,208.6923077,207.6889632,2.006688963,
210.6989967,0,0.065722608,0,210.6989967,209.6956522,2.006688963,
212.7056856,0,0.065722608,0,212.7056856,211.7023411,2.006688963,
214.7123746,0,0.065722608,0,214.7123746,213.7090301,2.006688963,
216.7190635,0.009040738,0.065722608,0.018141949,216.7190635,215.7157191,2.006688963,
218.7257525,0,0.047580659,0,218.7257525,217.722408,2.006688963,
220.7324415,0,0.047580659,0,220.7324415,219.729097,2.006688963,
222.7391304,0,0.047580659,0,222.7391304,221.735786,2.006688963,
224.7458194,0,0.047580659,0,224.7458194,223.7424749,2.006688963,
