0.0,298,-5
10.0,7921,5
20.0,32380,15
30.0,57519,25
40.0,78669,35
50.0,89915,45
60.0,84828,55
70.0,115831,65
80.0,92387,75
90.0,113289,85
100.0,112218,95
110.0,109518,105
120.0,61875,115
130.0,140609,125
140.0,53150,135
150.0,93507,145
160.0,85724,155
170.0,236561,165
180.0,83613,175
190.0,30943,185
200.0,0,195
210.0,77969,205
220.0,80392,215
230.0,34024,225
240.0,40731,235
250.0,30558,245
260.0,0,255
270.0,61787,265
280.0,38896,275
290.0,0,285
300.0,411,295
310.0,1998,305
320.0,0,315
330.0,15926,325
