0.0,653,-5
10.0,15140,5
20.0,76557,15
30.0,128506,25
40.0,173206,35
50.0,197894,45
60.0,172613,55
70.0,216768,65
80.0,145679,75
90.0,138876,85
100.0,163395,95
110.0,154702,105
120.0,55958,115
130.0,160314,125
140.0,78970,135
150.0,61617,145
160.0,91257,155
170.0,115131,165
180.0,58060,175
190.0,4182,185
200.0,0,195
210.0,3678,205
220.0,55548,215
230.0,1498,225
240.0,1480,235
250.0,10673,245
260.0,0,255
270.0,1042,265
280.0,1455,275
290.0,0,285
300.0,13576,295
310.0,4013,305
320.0,0,315
330.0,48005,325
