0.0,686,-5
10.0,14001,5
20.0,59142,15
30.0,88245,25
40.0,114734,35
50.0,127355,45
60.0,113338,55
70.0,129723,65
80.0,98710,75
90.0,126556,85
100.0,122937,95
110.0,150185,105
120.0,111121,115
130.0,161655,125
140.0,76727,135
150.0,92230,145
160.0,89603,155
170.0,148495,165
180.0,111150,175
190.0,96799,185
200.0,0,195
210.0,104377,205
220.0,66980,215
230.0,38810,225
240.0,84084,235
250.0,25113,245
260.0,0,255
270.0,43756,265
280.0,33189,275
290.0,0,285
300.0,31456,295
310.0,4807,305
320.0,0,315
330.0,56700,325
340.0,0,335
350.0,36569,345
