0.0,1731,-5
10.0,13570,5
20.0,35311,15
30.0,51840,25
40.0,79006,35
50.0,108386,45
60.0,115987,55
70.0,137221,65
80.0,93299,75
90.0,115085,85
100.0,129046,95
110.0,131841,105
120.0,63950,115
130.0,133587,125
140.0,86415,135
150.0,72249,145
160.0,50463,155
170.0,101083,165
180.0,76904,175
190.0,83855,185
200.0,0,195
210.0,59548,205
220.0,113915,215
230.0,77095,225
240.0,89188,235
250.0,51696,245
260.0,0,255
270.0,74393,265
280.0,89013,275
290.0,0,285
300.0,75471,295
310.0,4862,305
320.0,0,315
330.0,3163,325
340.0,0,335
350.0,68340,345
