0,737,-5,0.000355868
10,11531,5,
20,47451,15,
30,71259,25,
40,92119,35,
50,124155,45,
60,118397,55,
70,130902,65,
80,89842,75,
90,115463,85,
100,108942,95,
110,131335,105,
120,108141,115,
130,157993,125,
140,50264,135,
150,60233,145,
160,65497,155,
170,139961,165,
180,80118,175,
190,81405,185,
200,0,195,
210,92644,205,
220,92446,215,
230,2588,225,
240,17893,235,
250,30721,245,
260,0,255,
270,848,265,
280,939,275,
290,0,285,
300,14056,295,
310,33115,305,
