0.0,572,-5
10.0,16155,5
20.0,74603,15
30.0,108221,25
40.0,142072,35
50.0,170808,45
60.0,146642,55
70.0,164450,65
80.0,121770,75
90.0,162710,85
100.0,147870,95
110.0,106098,105
120.0,42225,115
130.0,123782,125
140.0,35949,135
150.0,38124,145
160.0,87192,155
170.0,81591,165
180.0,44933,175
190.0,73855,185
200.0,0,195
210.0,21286,205
220.0,18099,215
230.0,12434,225
240.0,54951,235
250.0,21255,245
260.0,0,255
270.0,565,265
280.0,612,275
290.0,0,285
300.0,13001,295
310.0,1619,305
320.0,0,315
330.0,16700,325
