0.0,1131,-5
10.0,18167,5
20.0,66740,15
30.0,115387,25
40.0,165346,35
50.0,182119,45
60.0,166860,55
70.0,173501,65
80.0,109987,75
90.0,188598,85
100.0,163149,95
110.0,167280,105
120.0,70981,115
130.0,158996,125
140.0,75308,135
150.0,83676,145
160.0,83754,155
170.0,119857,165
180.0,49765,175
190.0,61643,185
200.0,0,195
210.0,48513,205
220.0,36091,215
230.0,44785,225
240.0,42417,235
250.0,54291,245
260.0,0,255
270.0,35321,265
280.0,82644,275
290.0,0,285
300.0,31315,295
310.0,20064,305
320.0,0,315
330.0,13825,325
340.0,0,335
350.0,76958,345
360.0,0,355
370.0,8129,365
380.0,0,375
390.0,58197,385
400.0,0,395
410.0,2543,405
420.0,0,415
430.0,3854,425
440.0,0,435
450.0,0,445
